YEAR,TOTAL,species,scheme
1910,11,Luscinia megarhynchos,GB1
1911,4,Luscinia megarhynchos,GB1
1911,2,Luscinia megarhynchos,NL1
1912,13,Luscinia megarhynchos,NL1
1913,8,Luscinia megarhynchos,GB1
1913,9,Luscinia megarhynchos,NL1
1914,4,Luscinia megarhynchos,GB1
1914,2,Luscinia megarhynchos,NL1
1915,7,Luscinia megarhynchos,GB1
1916,7,Luscinia megarhynchos,GB1
1918,5,Luscinia megarhynchos,GB1
1919,5,Luscinia megarhynchos,GB1
1920,19,Luscinia megarhynchos,GB1
1920,5,Luscinia megarhynchos,NL1
1921,19,Luscinia megarhynchos,GB1
1921,3,Luscinia megarhynchos,NL1
1922,20,Luscinia megarhynchos,GB1
1922,5,Luscinia megarhynchos,NL1
1923,19,Luscinia megarhynchos,GB1
1924,18,Luscinia megarhynchos,GB1
1924,9,Luscinia megarhynchos,NL1
1925,23,Luscinia megarhynchos,GB1
1925,39,Luscinia megarhynchos,NL1
1926,33,Luscinia megarhynchos,GB1
1926,31,Luscinia megarhynchos,NL1
1927,40,Luscinia megarhynchos,GB1
1927,28,Luscinia megarhynchos,NL1
1928,37,Luscinia megarhynchos,GB1
1928,12,Luscinia megarhynchos,NL1
1929,38,Luscinia megarhynchos,GB1
1929,10,Luscinia megarhynchos,NL1
1929,5,Luscinia megarhynchos,CHE
1930,18,Luscinia megarhynchos,GB1
1930,26,Luscinia megarhynchos,NL1
1930,4,Luscinia megarhynchos,CHE
1931,161,Luscinia megarhynchos,GB1
1931,5,Luscinia megarhynchos,DN1
1931,1,Luscinia megarhynchos,FR1
1931,11,Luscinia megarhynchos,NL1
1931,7,Luscinia megarhynchos,CHE
1932,151,Luscinia megarhynchos,GB1
1932,6,Luscinia megarhynchos,FR1
1932,21,Luscinia megarhynchos,NL1
1932,24,Luscinia megarhynchos,CHE
1933,283,Luscinia megarhynchos,GB1
1933,10,Luscinia megarhynchos,FR1
1933,11,Luscinia megarhynchos,NL1
1933,20,Luscinia megarhynchos,CHE
1934,289,Luscinia megarhynchos,GB1
1934,14,Luscinia megarhynchos,FR1
